"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,Google Finance
,,,,,
expr,<< enter a symbol,,,,
,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,
"Express, Inc.",,,,,
,,,,,
Current Price,,Change,% Change,,
2.9,,0.01,0.17%,,
,,,,,
,,,,,
Market Cap,P/E Ratio,Beta,,,
194M,-,1.67,,,
,,,,,12 Months
,,,,,
,,,,,
expr,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Date,Open,High,Low,Close,Volume
29-Jan-21,7.48,7.53,5.11,6,"57,441,767"
1-Feb-21,5.75,5.76,4.49,5,"28,988,924"
2-Feb-21,3.99,4.06,2.87,3.38,"35,425,014"
3-Feb-21,3.84,3.84,3.38,3.56,"16,822,136"
4-Feb-21,3.53,3.54,3.15,3.28,"12,004,423"
5-Feb-21,3.27,3.48,3.07,3.14,"11,982,843"
8-Feb-21,3.1,3.11,2.9,3.01,"11,028,346"
9-Feb-21,2.97,2.97,2.73,2.85,"9,423,805"
10-Feb-21,2.83,3.34,2.77,2.96,"19,053,146"
11-Feb-21,2.97,3.05,2.68,2.82,"6,556,444"
12-Feb-21,2.76,2.89,2.71,2.8,"4,936,855"
16-Feb-21,2.82,2.83,2.62,2.62,"5,378,881"
17-Feb-21,2.62,2.62,2.4,2.43,"4,344,503"
18-Feb-21,2.42,2.82,2.3,2.47,"16,698,259"
19-Feb-21,2.5,2.59,2.35,2.37,"6,350,563"
22-Feb-21,2.42,2.6,2.35,2.47,"13,881,136"
23-Feb-21,2.4,2.52,2.17,2.31,"8,924,051"
24-Feb-21,2.32,3.45,2.32,3.25,"37,326,272"
25-Feb-21,3.67,3.97,2.91,2.99,"65,011,316"
26-Feb-21,2.92,3.17,2.61,2.69,"13,268,516"
1-Mar-21,2.82,2.98,2.68,2.82,"12,074,236"
2-Mar-21,2.8,2.9,2.62,2.65,"8,124,644"
3-Mar-21,2.67,2.73,2.38,2.55,"6,816,984"
4-Mar-21,2.45,2.57,2.31,2.51,"6,272,525"
5-Mar-21,2.48,2.51,2.3,2.46,"5,890,117"
8-Mar-21,2.52,4.35,2.46,4.03,"110,756,783"
9-Mar-21,3.71,3.92,3.24,3.38,"30,453,474"
10-Mar-21,4.09,5.44,3.8,4.25,"108,828,674"
11-Mar-21,3.8,4.09,3.72,3.8,"16,355,554"
12-Mar-21,3.84,4.6,3.79,4.44,"24,883,644"
15-Mar-21,4.44,5.27,4.35,5.1,"24,759,248"
16-Mar-21,4.7,4.89,4.41,4.58,"13,060,272"
17-Mar-21,4.5,5,4.46,4.81,"7,562,074"
18-Mar-21,4.8,6.34,4.77,5.05,"45,945,237"
19-Mar-21,5.09,5.85,5.04,5.33,"21,582,531"
22-Mar-21,5.41,5.49,4.56,4.64,"12,777,471"
23-Mar-21,4.66,4.69,4.16,4.16,"7,125,099"
24-Mar-21,4.16,4.58,4.06,4.07,"8,074,735"
25-Mar-21,3.95,4.75,3.82,4.6,"17,453,781"
26-Mar-21,4.6,4.74,4.03,4.24,"7,905,971"
29-Mar-21,4.21,4.25,3.92,3.99,"4,308,165"
30-Mar-21,3.98,4.21,3.78,4.1,"6,866,953"
31-Mar-21,4.15,4.24,4,4.02,"5,399,121"
1-Apr-21,4.04,4.06,3.88,3.97,"3,684,252"
5-Apr-21,3.97,4.2,3.86,4.17,"4,776,973"
6-Apr-21,4.09,4.56,4.07,4.34,"6,131,659"
7-Apr-21,4.25,4.28,3.92,3.92,"5,172,982"
8-Apr-21,3.95,4.03,3.88,3.92,"2,765,056"
9-Apr-21,3.97,4.03,3.79,3.79,"2,872,060"
12-Apr-21,3.81,3.81,3.5,3.55,"4,886,023"
13-Apr-21,3.5,3.56,3.29,3.33,"4,819,755"
14-Apr-21,3.34,3.72,3.33,3.49,"5,985,050"
15-Apr-21,3.5,3.5,3.22,3.35,"4,333,168"
16-Apr-21,3.31,3.33,3.16,3.17,"3,626,933"
19-Apr-21,3.17,3.28,3.11,3.21,"2,681,109"
20-Apr-21,3.13,3.15,2.85,2.92,"4,709,634"
21-Apr-21,2.89,3.23,2.89,3.15,"3,361,909"
22-Apr-21,3.21,3.34,3.09,3.15,"3,114,578"
23-Apr-21,3.17,3.2,3.09,3.15,"1,623,961"
26-Apr-21,3.19,3.4,3.18,3.21,"3,955,734"
27-Apr-21,3.26,3.47,3.16,3.26,"3,710,579"
28-Apr-21,3.25,3.3,3.13,3.28,"2,169,173"
29-Apr-21,3.28,3.3,3.14,3.21,"2,302,589"
30-Apr-21,3.21,3.22,3.02,3.05,"3,281,594"
3-May-21,3.1,3.18,3.02,3.11,"2,570,598"
4-May-21,3.12,3.27,2.99,3.17,"3,042,052"
5-May-21,3.15,3.69,3.11,3.49,"4,738,380"
6-May-21,3.45,3.52,3.2,3.51,"4,139,927"
7-May-21,3.45,3.58,3.34,3.41,"2,790,985"
10-May-21,3.37,3.37,2.96,2.99,"4,510,300"
11-May-21,2.86,3.1,2.85,3.03,"2,367,049"
12-May-21,2.97,3.02,2.83,2.85,"2,428,474"
13-May-21,2.93,3.5,2.88,3.22,"19,884,356"
14-May-21,3.28,3.52,3.18,3.23,"7,435,150"
17-May-21,3.23,3.88,3.2,3.66,"14,370,065"
18-May-21,3.77,4.12,3.72,3.74,"9,799,663"
19-May-21,3.52,3.59,3.36,3.59,"3,022,909"
20-May-21,3.63,3.7,3.42,3.54,"2,563,849"
21-May-21,3.52,3.62,3.4,3.41,"2,304,940"
