"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,Google Finance
,,,,,
AMK,<< enter a symbol,,,,
,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,
AssetMark Financial Holdings Inc,,,,,
,,,,,
Current Price,,Change,% Change,,
23.45,,0.41,1.78%,,
,,,,,
,,,,,
Market Cap,P/E Ratio,Beta,,,
"1,725M",714.07,-,,,
,,,,,12 Months
,,,,,
,,,,,
AMK,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Date,Open,High,Low,Close,Volume
29-Jan-21,23.63,23.9,22.83,23.02,"82,159"
1-Feb-21,23.26,23.28,22.62,22.95,"231,909"
2-Feb-21,23.26,23.79,23.06,23.39,"107,388"
3-Feb-21,23.24,23.48,22.84,22.97,"164,858"
4-Feb-21,22.86,24.47,22.86,24.39,"121,485"
5-Feb-21,24.65,25.14,24.4,25.12,"161,394"
8-Feb-21,25.12,25.86,24.9,25.78,"187,448"
9-Feb-21,25.69,26.16,25.03,26.08,"131,920"
10-Feb-21,26.1,26.63,26.1,26.55,"174,159"
11-Feb-21,26.63,26.91,26.11,26.4,"772,065"
12-Feb-21,26.98,26.98,25.95,26.25,"125,405"
16-Feb-21,26.41,26.54,25.94,25.94,"78,028"
17-Feb-21,25.68,25.93,24.96,24.98,"76,858"
18-Feb-21,24.91,25.06,24.6,24.86,"103,158"
19-Feb-21,24.94,25.37,24.94,25.31,"39,056"
22-Feb-21,25.15,25.59,25,25.38,"57,047"
23-Feb-21,25.26,25.69,24.79,25.02,"56,838"
24-Feb-21,24.8,25.2,24.7,24.97,"112,606"
25-Feb-21,24.9,25.15,24.44,24.48,"72,758"
26-Feb-21,24.37,24.82,23.56,23.63,"149,496"
1-Mar-21,24.03,25.15,24.02,24.85,"168,288"
2-Mar-21,24.85,24.85,24.12,24.12,"108,102"
3-Mar-21,24.14,24.88,23.7,24.55,"129,677"
4-Mar-21,24.53,24.65,23.78,23.96,"51,691"
5-Mar-21,24.33,24.84,23.51,23.8,"135,340"
8-Mar-21,24.1,24.63,23.5,24.2,"114,564"
9-Mar-21,24.38,24.69,24.19,24.49,"79,887"
10-Mar-21,24.6,24.75,23.77,23.83,"91,010"
11-Mar-21,23.98,24.04,23.5,23.53,"122,650"
12-Mar-21,23.61,23.9,23.29,23.52,"70,506"
15-Mar-21,23.44,23.91,23.23,23.8,"187,756"
16-Mar-21,23.66,23.8,23.16,23.54,"66,269"
17-Mar-21,23.07,23.4,23.07,23.31,"41,237"
18-Mar-21,23.52,23.52,22.95,23.04,"68,934"
19-Mar-21,23,23.3,22.5,23.13,"266,745"
22-Mar-21,23.13,23.13,22.6,22.82,"40,533"
23-Mar-21,22.59,22.86,22.4,22.74,"72,113"
24-Mar-21,22.87,23.4,22.62,22.77,"103,843"
25-Mar-21,22.65,22.91,22.23,22.74,"67,885"
26-Mar-21,22.85,23.55,22.45,23.55,"79,114"
29-Mar-21,23.41,23.8,23.16,23.4,"148,901"
30-Mar-21,23.45,23.9,23.26,23.42,"49,222"
31-Mar-21,23.47,23.8,23.3,23.34,"98,974"
1-Apr-21,23.38,23.71,23.14,23.67,"60,515"
5-Apr-21,23.9,23.95,23.46,23.67,"84,784"
6-Apr-21,23.72,23.72,23.08,23.18,"40,804"
7-Apr-21,22.87,22.92,22.5,22.53,"62,364"
8-Apr-21,22.58,22.58,22.23,22.27,"78,238"
9-Apr-21,22.23,22.54,21.83,22.35,"154,105"
12-Apr-21,22.38,22.47,22.27,22.32,"26,313"
13-Apr-21,22.25,22.46,22.25,22.36,"70,487"
14-Apr-21,22.7,22.84,22.35,22.42,"31,179"
15-Apr-21,22.57,22.65,22.15,22.32,"19,337"
16-Apr-21,22.5,22.58,22.23,22.44,"25,760"
19-Apr-21,22.38,22.38,21.99,22.04,"24,063"
20-Apr-21,22.04,22.26,22,22.07,"44,420"
21-Apr-21,22.02,22.41,22.01,22.16,"83,598"
22-Apr-21,22.24,22.27,21.86,22.16,"71,943"
23-Apr-21,22.27,22.66,22.14,22.35,"56,251"
26-Apr-21,22.4,22.62,22.34,22.52,"17,721"
27-Apr-21,23.03,23.03,22.14,22.47,"36,482"
28-Apr-21,22.48,22.64,22.37,22.49,"21,568"
29-Apr-21,22.67,22.68,22.29,22.49,"17,629"
30-Apr-21,22.33,22.64,22.2,22.52,"54,131"
3-May-21,22.68,23.09,22.36,22.49,"32,446"
4-May-21,22.24,22.28,22.05,22.2,"56,577"
5-May-21,22.52,23,22.17,22.75,"53,414"
6-May-21,22.83,23.16,22.51,23.13,"84,782"
7-May-21,22.96,23.79,22.93,23.46,"62,473"
10-May-21,23.47,23.49,22.85,22.88,"86,210"
11-May-21,23.6,25.04,23.6,24.03,"85,368"
12-May-21,24.02,24.54,23,23.34,"94,689"
13-May-21,23.4,24.09,23.4,24,"50,970"
14-May-21,23.94,24.19,23.77,24.09,"44,254"
17-May-21,24.07,24.72,23.84,24.61,"48,470"
18-May-21,24.52,25.47,24.36,24.68,"234,680"
19-May-21,24.32,24.81,24.23,24.74,"49,906"
20-May-21,24.93,25.01,24.61,24.88,"58,059"
21-May-21,25.13,25.13,24.87,24.97,"71,280"
24-May-21,25.08,25.4,25.08,25.21,"75,146"
25-May-21,25.33,25.82,25.33,25.46,"65,651"
26-May-21,25.61,26.14,25.44,26.11,"71,537"
27-May-21,26.21,26.56,26.04,26.32,"290,844"
28-May-21,26.35,26.49,25.47,26.06,"71,655"
1-Jun-21,26.09,26.54,25.71,25.78,"67,715"
