"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,Google Finance
,,,,,
NFLX,<< enter a symbol,,,,
,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,
Netflix Inc,,,,,
,,,,,
Current Price,,Change,% Change,,
384.36,,-2.34,-0.61%,,
,,,,,
,,,,,
Market Cap,P/E Ratio,Beta,,,
"170,253M",34.21,0.82,,,
,,,,,12 Months
,,,,,
,,,,,
NFLX,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Date,Open,High,Low,Close,Volume
29-Jan-21,538,541,530.18,532.39,"4,325,264"
1-Feb-21,536.79,545.06,531.73,539.04,"3,547,507"
2-Feb-21,542.01,555.48,538.93,548.16,"3,767,569"
3-Feb-21,550.17,550.48,538.24,539.45,"3,172,288"
4-Feb-21,539.81,559.48,537.51,552.16,"5,164,537"
5-Feb-21,552.26,554.44,545.48,550.79,"2,376,175"
8-Feb-21,555,555,543.7,547.92,"2,791,721"
9-Feb-21,546,566,543,559.07,"3,703,499"
10-Feb-21,562.5,566.65,553.46,563.59,"3,991,264"
11-Feb-21,564.44,565.93,554.22,557.59,"2,730,587"
12-Feb-21,556.94,561.25,550.85,556.52,"2,197,128"
16-Feb-21,557.29,563.63,552.73,557.28,"2,624,097"
17-Feb-21,550.99,555.25,543.03,551.34,"2,071,590"
18-Feb-21,549,550,538.23,548.22,"2,457,604"
19-Feb-21,548,548.99,538.81,540.22,"2,841,457"
22-Feb-21,534.99,541.79,530.79,533.78,"3,078,594"
23-Feb-21,525,548.54,518.28,546.15,"4,136,532"
24-Feb-21,539.8,556.85,539.07,553.41,"3,245,038"
25-Feb-21,550.27,556.48,535.75,546.7,"4,252,879"
26-Feb-21,546.51,553.09,538,538.85,"3,755,574"
1-Mar-21,545.57,552.14,542,550.64,"3,042,180"
2-Mar-21,553.34,556.99,546.02,547.82,"3,042,226"
3-Mar-21,545.93,548.01,517.81,520.7,"5,362,443"
4-Mar-21,521.5,531.5,507.68,511.29,"5,034,792"
5-Mar-21,511.98,517.76,498.79,516.39,"5,069,973"
8-Mar-21,514.46,518.84,492.85,493.33,"3,981,758"
9-Mar-21,507.31,513.11,503.82,506.44,"3,470,042"
10-Mar-21,513.5,518.97,504.25,504.54,"3,771,484"
11-Mar-21,512.2,530.24,510.71,523.06,"4,714,469"
12-Mar-21,512.5,526.51,506.59,518.02,"3,981,743"
15-Mar-21,516.32,520.73,508.03,520.25,"3,485,519"
16-Mar-21,524.47,533.42,523.21,524.03,"3,238,888"
17-Mar-21,522,528.37,514.3,524.44,"2,817,376"
18-Mar-21,516.4,517.9,503.85,504.79,"4,096,606"
19-Mar-21,504.96,513.19,501.63,512.18,"4,386,360"
22-Mar-21,509.13,529.31,509.13,523.11,"3,360,587"
23-Mar-21,529.87,543.12,529.4,535.09,"5,583,461"
24-Mar-21,533.78,534.42,520,520.81,"4,102,211"
25-Mar-21,516.99,518.53,497,502.86,"4,926,764"
26-Mar-21,502.82,508.72,496.68,508.05,"3,467,797"
29-Mar-21,505.66,518,504.4,513.95,"3,330,049"
30-Mar-21,510.51,514.41,506.91,513.39,"2,418,129"
31-Mar-21,515.67,528.13,515.44,521.66,"3,503,111"
1-Apr-21,529.93,540.5,527.03,539.42,"3,938,637"
5-Apr-21,540.01,542.85,529.23,540.67,"3,355,904"
6-Apr-21,544.81,554.17,543.3,544.53,"3,474,205"
7-Apr-21,543.5,549.64,541.45,546.99,"2,151,319"
8-Apr-21,551.13,556.9,547.57,554.58,"4,309,829"
9-Apr-21,552.69,556.9,547.11,555.31,"2,894,034"
12-Apr-21,551.05,557.98,549.58,552.78,"2,944,060"
13-Apr-21,557,559.75,550.3,553.73,"2,720,344"
14-Apr-21,554.87,554.87,538.53,540.02,"3,740,294"
15-Apr-21,544.17,553.49,542.66,549.22,"3,139,050"
16-Apr-21,550.54,551.98,539.51,546.54,"3,209,075"
19-Apr-21,546.9,556.44,545.53,554.44,"4,288,715"
20-Apr-21,554.42,563.56,546.3,549.57,"11,257,648"
21-Apr-21,508,515.46,503.6,508.9,"22,897,446"
22-Apr-21,513.82,513.96,500.55,508.78,"9,061,062"
23-Apr-21,509.01,509.7,500.7,505.55,"7,314,659"
26-Apr-21,506.76,510.48,503,510.3,"4,388,839"
27-Apr-21,512.62,512.99,504.58,505.55,"3,761,327"
28-Apr-21,505.2,508.4,503.34,506.52,"3,192,983"
29-Apr-21,507.6,509.29,499,509,"5,127,792"
30-Apr-21,505,514.55,505,513.47,"4,413,242"
3-May-21,512.65,518.95,505.2,509.11,"4,091,895"
4-May-21,510.78,511.63,496.79,503.18,"4,349,502"
5-May-21,504.99,507.78,494.63,496.08,"3,129,366"
6-May-21,495.99,499.55,491.37,499.55,"3,783,698"
7-May-21,504.62,508.55,501.12,503.84,"3,132,786"
10-May-21,502,503.15,486.11,486.69,"5,131,632"
11-May-21,479.75,497.99,478.63,495.08,"4,401,000"
12-May-21,486.83,493.54,482.7,484.98,"4,121,540"
13-May-21,489.13,490.78,482.71,486.66,"2,716,561"
14-May-21,487.86,494.85,486.59,493.37,"2,882,464"
17-May-21,485.59,492.71,482.81,488.94,"2,705,249"
18-May-21,488.4,493.48,486.19,486.28,"2,350,496"
19-May-21,481.63,488.57,478.54,487.7,"3,349,930"
20-May-21,489.55,502.7,488.98,501.67,"3,721,218"
21-May-21,503.12,505.4,497.26,497.89,"3,322,925"
24-May-21,501.05,504.25,499.51,502.9,"2,412,595"
